text,label,technique
"Person1: I ain't never used no hatchet that I remember.
Person2: You're just crazy in a retarded kind of way then.  It wouldn't matter to me if you did do violence on somebody 'cause I ain't afraid of shit. You think I'm afraid for you to stay here. You're just a bit odd it looks like to me. Not really, I'm just jokin' with you. Welcome to our humble home, buddy. Frank needs all the friends he can get. Frank's a real weak little kid. His daddy taught him how to be a timid person.",1,shaming or belittlement
"Person1: How long have you been in Alaska?
Person2: I don't remember.  Is that what you wanted to ask me?",0,
"Person1: Take it easy!  I didn't have anything to do with him getting killed if that's what you mean.
Person2: But you were business associates?
Person1: What does that have to do --",1,denial
"Person1: There must be some other way out.
Person2: Well, until that's found, I think it's a good idea we all stick together.  Or wouldn't that fit into your plans, baby?",0,
"Person1: I have a proposal, Mr. Kay.  This mode of questioning is getting old, don't you think?
Person2: I don't mind.
Person1: Let's make it more interesting.  I will answer any question you ask. But, for each answer, you must remove one article of clothing.",0,
"Person1: He is a very close friend.  Do you have some explanation of what happened in my apartment?
Person2: Yes, but I have to tell you in private at a fine restaurant.
Person1: Can't you tell me now?
Person2: I'll cancel the reservation,  I found the name ""Zuul"" in ...  The Roylance Guide to Secret Societies and Sects.  I don't suppose you've  read it.
Person1: You must have gotten the last copy.
Person2: Well, the name Zuul refers to a demi-god worshipped around 6000 B.C. by the ... What's that say?
Person1: Hittites,  the Mesopotamians and the Sumerians.  ""Zuul was the Minion of Gozer.""
Person2: ""Gozer"" -- he was very big in the Sumerian religion.  One of their gods.
Person1: What's he doing in my refrigerator.
Person2: I'm checking on that.  I think we should meet Thursday night at nine to talk about it.
Person1: I don't think so.  I'm busy Thursday night.
Person2: You think I enjoy giving up my evenings to spend time with clients?  I'm making an exception because I respect you as an artist and as a dresser.
Person1: All right.  Since you put it that way.
Person2: I'll pick you up at your place.  I'll bring along the Roylance Guide -- we can read after we eat.
Person1: I've got to go now.",0,
"Person1: Get up out of the chair, Richard.
Person2: What's with you people? Why do ya have to mess with my head all the time? I came through, man.
Person1: Get up out of the chair, and walk toward the backdoor, Richard.
Person2: I get thrown in solitary until I don't know my own darn name, and then you people tell me I can beat nine years if I help you. I helped you!
Person1: Get up!",1,"brandishing anger,accusation"
"Person1: So where do you know Alan from?
Person2: We play tennis at the club.
Person1: Really. The California Racquet Club?
Person2: Yes.
Person1: That's my club too. I haven't seen you there.
Person2: Well, I haven't played in a while because of these kidney pains.
Person1: Right, and how long have you had these pains, Mr. Barber?
Person2: That's Babar.
Person1: Two bs?
Person2: One. B-a-b-a-r.
Person1: That's two.
Person2: But not right next to each other. I thought that's what you meant.
Person1: Arnold Babar. Isn't there a children's book about an elephant named Babar?
Person2: I don't know. I don't have any.
Person1: No children?
Person2: No books. No elephants either. No really good elephant books.
Person1: Still, it'd an odd name. I don't remember seeing it on the club registry.",1,shaming or belittlement
"Person1: Don't get all worked up, Justin. I expected some common sense on your part and clearly I was expecting too much. Just open the drawer.
Person2: We never should have done this to him...
Person1: Well, what are we gonna do about it now?",1,"shaming or belittlement,accusation"
"Person1: All right... where did you see her?
Person2: She's in my biology class.
Person1: Did you get her number?
Person2: No.
Person1: Did you get her name?
Person2: No. It's too soon.
Person1: It's never too soon! Girls decide how far to let you go in the first five minutes.
Person2: Well, what do you want me to do? Go up to this strange girl in my biology class and say, 'Hello! I'd like you to take your clothes off and jump on me?'
Person1: I would. Yeah.
Person2: Really?
Person1: I can see it all now. This is going to be just like the girl you fell in love with at Fotomat this summer. You bought forty bucks of film and you never even talked to her.
Person2: You tell me, Mike. What do I do?
Person1: Okay. Okay.  Here's what you do.",1,persuasion or seduction
